query,precision,recall,accuracy
0,0.8880895193428069,0.8583952371125478,0.9976419076619668
0,0.8862597634485798,0.8409147603592522,0.9970051069487499
0,0.8773510629565083,0.8374645789692731,0.9965535573521055
0,0.8605832167598847,0.8537181642669155,0.9974701644393112
0,0.864420521779256,0.8384826352541226,0.9973813982792873
0,0.8241205529655073,0.844154602975237,0.9965796082903736
0,0.8812374202127812,0.840523659553915,0.9966693392999632
0,0.8658378615108695,0.851638261266445,0.9964242675103314
0,0.8761832804715913,0.8486427013833069,0.9970359821348452
0,0.8800681223996024,0.8679501471487108,0.9972694757296915
0,0.8557336018257243,0.8721528710113462,0.9970678221705059
0,0.8998202974736778,0.8470536305999783,0.9970572088252861
0,0.8783264494414132,0.8328687514423894,0.9969375674791663
0,0.8775655450393629,0.8258633973458662,0.9966857417425763
0,0.843436474164207,0.8747139070171155,0.9972125496053281
0,0.8630682197034378,0.8578976038809333,0.9972318465966378
0,0.8819536805351851,0.8286296271157039,0.9968430122217494
0,0.8862206298757886,0.8629161929729865,0.9969616887183034
0,0.8665749476052922,0.8646054007708942,0.9964522481477301
1,0.9918858090499882,0.7160944432857024,0.9952018203403243
1,0.9941979316979316,0.7187189611562295,0.9953016679124712
1,0.9884588675213674,0.7147734975083806,0.995167927127761
1,0.991673752834467,0.7120120780340526,0.9953392252561228
1,0.995847872194855,0.7129492514875451,0.9952595304049597
1,0.9870863843603204,0.7281569553219134,0.9957074704304621
1,0.9865066994539751,0.7248696047710116,0.9953667062392824
1,0.9881205847723704,0.7321536831338792,0.9954821263685529
1,0.9956786808290569,0.7169228173883742,0.995386858960266
1,0.9890873015873017,0.7076932016929975,0.995328232862859
1,0.987169504429679,0.7211759562161009,0.9954207521728297
1,0.9931270614306329,0.7160418650111814,0.9953264007973149
1,0.9889579020013802,0.7221634978777132,0.9952668586671356
1,0.9950840825840827,0.7243892227595846,0.995646096234739
1,0.9878472222222221,0.7137547543167571,0.9951404461446012
1,0.9874007936507936,0.7109622788714409,0.9952045684386406
1,0.9865823412698413,0.728249840452343,0.9955554089903119
1,0.9955357142857143,0.7058485883629184,0.9951679271277608
1,0.986491565335391,0.7239128466560714,0.9953245687317709
1,0.9895833333333334,0.7194271019243895,0.9953456374855266
1,0.992063492063492,0.712736264983163,0.995469301909745
1,0.9811359997215258,0.7382572788503772,0.9963532735347139
1,0.9935224089635855,0.7115138093404934,0.995322736666227
1,0.999135944700461,0.7113991427522949,0.9953108282401911
1,0.9560019779875976,0.7667420120561841,0.995385942927494
1,0.9924832112332114,0.7121684067773735,0.9952393776839761
1,0.9919488092724155,0.7226795843337941,0.9955096073517127
1,0.990752551020408,0.7104168474250963,0.9952091486025003
2,0.5194796538791925,0.9383937276354966,0.9908313355414935
2,0.5490783158097329,0.9338849228981889,0.9955102628614027
2,0.5196081722803083,0.937533986340091,0.9910930015634074
2,0.5438561324509846,0.939310568685899,0.9955177928188678
2,0.5411900397284091,0.935404713275793,0.9946480827316426
2,0.5298705637486767,0.9381003343010514,0.9943826517309962
2,0.49943425428439087,0.9319516958768734,0.9908802802650168
2,0.5120313052467954,0.9405389372474019,0.9924521588858676
2,0.5392072789391351,0.9447515032618818,0.994153929272992
2,0.5267608382971454,0.9447705993094697,0.9933915210796453
2,0.5074624793512678,0.9667899334029352,0.9920464824274324
2,0.5356585581306706,0.9436410761521798,0.9902072903165691
2,0.524336691096012,0.949996781214753,0.9946716138487213
2,0.5195766432788269,0.9152908505132223,0.994160517985774
2,0.5375686992616638,0.9340397649840928,0.9942593486775042
2,0.5405920855271377,0.9263204916128183,0.9954744955634433
2,0.5425696417302021,0.9265691741783826,0.9952485968394887
2,0.5623914386207101,0.9245528649719641,0.9962783185228483
2,0.5010058557418847,0.9399137751279282,0.9938226111445252
2,0.5169657968532849,0.9422630762993208,0.9935534151651462
2,0.5179272662215809,0.9443603763318481,0.9921198995127177
2,0.529473546888999,0.9206182719646655,0.9946584364231573
2,0.5182493383641327,0.9311114203176606,0.9946556126891078
2,0.5199173192634399,0.9317561634061337,0.9939289717937206
2,0.4953539954597106,0.9496562425197478,0.9900416312523355
2,0.5144781384116036,0.9408289380111909,0.9936155373142337
2,0.5000648671741852,0.9565401570392985,0.9921406068957468
2,0.5111430728241263,0.9448791903072603,0.991665278330759
2,0.5279669527687583,0.9479216977945268,0.9928361867165905
0,0.853405515652693,0.832293993482431,0.9969838802583095
0,0.8794316385905335,0.8560348833820545,0.9970929082592089
0,0.8524880451136015,0.8602584427363954,0.9975975245819547
0,0.8364444333880673,0.8692781336617429,0.9973186830575309
0,0.8899073149100272,0.8305398584002813,0.9971199240470424
0,0.8873191067765016,0.8515453396437702,0.996773543053035
0,0.8838493857086922,0.8473663110321592,0.9964146190146764
0,0.8469463056857758,0.8504986614189792,0.9965622409981949
0,0.8712482835565352,0.8249217444007502,0.9965612761486292
0,0.8587206839768268,0.8303262193462969,0.9963683062355332
0,0.8608893443687359,0.8530108674175176,0.9964590020946882
0,0.874209895964532,0.8488008884239784,0.9969134462400294
0,0.8600263546564931,0.8582078017159518,0.9968082776373919
0,0.8602209031142836,0.8342807677897698,0.997010896046143
0,0.8551756461212208,0.8764699207609853,0.9966374992643021
0,0.8385517352867867,0.8557689408124775,0.9945727211941751
0,0.8600194164023578,0.8420901452023127,0.9969308135322081
0,0.8941114605758218,0.843649329617496,0.9973891170758111
0,0.879613347794246,0.8271063997958663,0.9966432883616952
0,0.8789237020544501,0.8666197787817068,0.9972154441540247
0,0.8597562996227078,0.8606879881454362,0.9968854656026306
0,0.8839954699265083,0.848695669477417,0.9972414950922928
0,0.8788597476305456,0.8462908634900494,0.9965496979538436
0,0.8874357709377313,0.8547531869172509,0.9967368787695468
0,0.8909749200832832,0.8191939009112837,0.9964290917581585
0,0.8683669303839627,0.8394775661128064,0.9966075889277725
0,0.8873157074950258,0.8390117273197132,0.9970176499931014
0,0.8497529183492456,0.8428554769059721,0.9962245436502768
0,0.884051149125186,0.8482762203817381,0.997467269890615
0,0.8663608381979411,0.8389815532287991,0.9968333637260945
0,0.8630955997844265,0.8459964798533115,0.9966114483260341
0,0.8678900392841044,0.8314650626373216,0.9967542460617256
0,0.8366615986802313,0.8767636810569203,0.9956987006370903
0,0.9010007932642378,0.8635230155067354,0.9979429407263967
0,0.8522227117632164,0.8547228330982648,0.9969616887183036
1,0.9846230158730158,0.7143402616696548,0.9952027363730965
1,0.9844682140193884,0.7245342883263874,0.9955508288264523
0,0.8600090433032804,0.8886326480920491,0.9967687188052076
0,0.8445612416154332,0.8432362062840525,0.997025368789625
0,0.8537073070780633,0.857932118246614,0.9969655481165653
0,0.8932674391763797,0.8355554377944306,0.9969858099574406
