(1,<,1,1,List(0.746408022, 0.742843661, 0.749595128, 0.912705417, 0.572470982),0.744804642,0.10762799416937878)
(2,<,1,1,List(0.58558072, 0.607975422, 0.877211193, 0.59208181, 0.900050482),0.7125799254,0.1441106241623013)
(2,<,2,1,List(9.50523E-4, 0.00108122, 0.00123838, 0.001082489, 0.001283309),0.0011271842,1.2004916266496825E-4)
(2,<,2,2,List(0.901505302, 0.581872338, 0.761141502, 0.8948555, 0.584970573),0.744869043,0.14101850544381225)
(2,>,2,2,List(0.611722372, 0.766948163, 0.760215166, 0.752865007, 0.760957906),0.7305417228,0.059577602271060216)
(32,<,1,2,List(0.209173981, 0.202771485, 0.193898954, 0.247708352, 0.220432704),0.2147970952,0.018589663419792762)
(32,<,2,1,List(0.001454945, 0.001171287, 0.001076228, 9.55873E-4, 0.001125446),0.0011567558000000003,1.6549736206646922E-4)
(32,<,2,2,List(0.175715992, 0.209713978, 0.178963076, 0.195599137, 0.172337063),0.18646584919999998,0.014109330768929888)
(128,>,1,1,List(0.219784613, 0.209126846, 0.222666071, 0.240117382, 0.223738385),0.2230866594,0.009964206478477178)
(256,<,1,2,List(0.396724956, 0.364369166, 0.45543169, 0.346439993, 0.375736557),0.3877404724,0.037573563664289496)
(256,<,2,1,List(0.001239744, 0.001255719, 8.88757E-4, 0.001217552, 0.001606256),0.0012416055999999998,2.2726780591592814E-4)
(256,<,2,2,List(0.29867412, 0.344758137, 0.296487557, 0.339506956, 0.312561218),0.3183975976,0.02021688316276894)
(512,<,2,2,List(0.338955358, 0.32659334, 0.338654832, 0.336770317, 0.33973693),0.33614215540000003,0.004872874296113761)
(512,>,1,2,List(0.171457139, 0.173763965, 0.217083625, 0.171981457, 0.165359153),0.1799290678,0.01879196703680828)
(1,<,1,2,List(0.971155625, 0.643191441, 0.642542261, 0.64180408, 0.634651187),0.7066689187999999,0.13227912699374728)
(1,<,2,1,List(0.00105034, 0.001488351, 0.001187058, 0.00168939, 0.001326232),0.0013482742,2.24152987114069E-4)
(1,>,1,1,List(0.58915755, 0.908897873, 0.58995883, 0.910374422, 0.584545224),0.7165867797999999,0.15763567208805965)
(4,<,1,2,List(0.416720944, 0.34164246, 0.294188199, 0.373916299, 0.38865287),0.3630241544,0.04208177919690526)
(4,<,2,2,List(0.334631602, 0.261703159, 0.324066704, 0.282641048, 0.331056679),0.30681983840000004,0.029252356059388)
(4,>,1,2,List(0.281088529, 0.241430843, 0.300830171, 0.28160814, 0.266491398),0.2742898161999999,0.01972155287024235)
(8,>,1,1,List(0.327003007, 0.352941403, 0.32168179, 0.34751788, 0.36940538),0.343709892,0.017460452202821303)
(8,>,1,2,List(0.266258606, 0.228017687, 0.253833027, 0.271854596, 0.225262356),0.2490452544,0.01922120262140894)
(128,<,1,1,List(0.244470828, 0.213505761, 0.238702123, 0.235977539, 0.219115356),0.23035432139999998,0.01192283906737486)
(256,>,1,1,List(0.369428929, 0.334582348, 0.349951329, 0.32011653, 0.294364602),0.3336887476,0.025586028061124155)
