6001171,0,List(104.926448293, 95.453759667, 92.562568803, 91.078050568, 101.23032383),97.0502302322,5.250956993497551
6001171,2,List(26.330327324, 28.268809675, 20.904203106, 36.344531231, 35.653053477),29.500184962599995,5.833661858972544
6001171,7,List(34.678244096, 36.232535642, 36.262148423, 35.753249418, 38.75325107),36.335885729800005,1.3376856489472906
6001171,8,List(43.978272083, 40.418597956, 42.061465651, 40.704094327, 86.207590643),50.674004132,17.81132715127094
6001171,6,List(52.874500587, 27.096859505, 29.928222976, 55.143660414, 32.351624555),39.4789736074,12.001293660208862
6001171,1,List(21.613197186, 20.030934047, 22.609415627, 20.150468451, 22.338352127),21.3484734876,1.0780574828278089
6001171,3,List(23.585274752, 21.952045483, 22.852496775, 23.870072812, 22.788777944),23.0097335532,0.672856619384507
6001171,4,List(23.41276294, 23.859007003, 12.879445545, 23.615335994, 25.684940018),21.890298299999994,4.577428114636344
6001171,5,List(34.37520642, 17.519526025, 33.851622594, 35.215016035, 36.595461016),31.511366418,7.057124265257979
6001171,9,List(51.284227645, 48.550530654, 51.610841211, 49.290563051, 50.765716769),50.300375865999996,1.18182114440298
