6001171,5,List(124.038790583, 139.965284003, 122.045004185, 122.329122803, 123.079211223),126.2914825594,6.87166686651174
6001171,7,List(134.867663282, 136.394345739, 137.766020009, 124.67290176, 146.839709883),136.1081281346,7.075316644444199
6001171,9,List(147.729204484, 128.159402307, 134.388574883, 133.277432283, 144.582877912),137.6274983738,7.341393796289654
6001171,0,List(95.931094053, 107.26157429, 101.509939847, 112.048260683, 110.804727397),105.51111925399998,6.02672245198396
6001171,3,List(134.167708274, 111.344423392, 118.669668073, 112.782484934, 116.881104828),118.7690779002,8.144408289533407
6001171,6,List(123.989908907, 134.197363826, 119.861162275, 134.094628613, 116.176274412),125.66386760660001,7.353723415972543
6001171,1,List(128.112373661, 118.587449296, 135.974722683, 122.333822329, 99.418364527),120.8853464992,12.232161902087261
6001171,8,List(160.221107964, 125.038277188, 135.722786293, 134.681376751, 142.843296952),139.7013690296,11.721493952818982
6001171,2,List(118.299017762, 101.132962817, 116.857693941, 120.438385184, 128.017139413),116.9490398234,8.79383233804417
6001171,4,List(105.264663051, 116.238909404, 114.661783451, 107.36510619, 100.663907651),108.8388739494,5.838558875750498
